No,Brand,Type,C1,C2,C3,Prosesor,C4,C5,C6,C7,C8,C9
1,ZTE,Nubia A36,915000,4,64,Unisoc T7200,180000,13,5000,eMMC,IPS,HD+
2,ITEL,A90,988000,4,64,Unisoc T7100,101469,13,5000,eMMC,IPS,HD+
3,ZTE,Nubia A56,999000,4,128,Unisoc T7200,180000,13,5000,eMMC,IPS,HD+
4,POCO,C71,1038000,4,128,Unisoc T7250,280000,32,5200,eMMC,IPS,HD+
5,Realme,Note 60x,1096000,4,128,Unisoc Tiger T612,200000,8,5000,eMMC,IPS,HD+
6,Infinix,Smart 10 Plus,1109000,8,128,Unisoc T7250,280000,8,6000,eMMC,IPS,HD+
7,Xiaomi,Redmi A5 4G,1160000,4,128,Unisoc T7250,280000,32,5200,eMMC,IPS,HD+
8,ZTE,Nubia V70 Max,1189000,6,128,Unisoc T606,180000,50,6000,eMMC,IPS,HD+
9,ITEL,Power 70,1249000,8,128,Mediatek Helio G50 Ultimate,144000,13,6000,eMMC,IPS,HD+
10,ITEL,City 100,1279000,6,128,Unisoc T7250,280000,13,5200,eMMC,IPS,HD+
11,Vivo,Y04,1349000,4,64,Unisoc T7225,200000,13,5500,eMMC,IPS,HD+
12,ZTE,Nubia V70 Design,1269000,8,128,Unisoc T606,180000,50,5000,eMMC,IPS,HD+
13,Realme,C71,1463000,4,128,Unisoc T7250,280000,50,6300,eMMC,IPS,HD+
14,itel,City 100,1270000,6,128,Unisoc T7250,280000,13,5200,eMMC,IPS,HD+
15,Realme,C75x,1875000,8,128,Mediatek Helio G81 Ultra,270000,50,5600,eMMC,IPS,HD+
16,Infinix,Hot 60 Pro,1999000,8,128,Mediatek Helio G200,440000,50,5160,UFS,Amoled,1.5K
17,Motorola,G45 5G,1974000,8,256,Snapdragon 6s Gen 3,468232,50,5000,UFS,IPS,HD+
18,Techno,Spark 30 Pro ,1989000,8,128,Mediatek Helio G100,440000,108,5000,UFS,IPS,FHD
19,Vivo,Y19 GT 5G,1949000,6,128,Mediatek Dimensity 6300 5G,428635,50,5500,UFS,IPS,HD+
20,Techno,Pova 7,2055000,8,128,Mediatek Dimensity 7300 Ultimate,671587,50,6000,UFS,IPS,FHD+
21,ZTE,Nubia Focus 2 5G,2229000,8,256,Unisoc T760 ,472470,108,5000,eMMC,IPS,FHD
22,Xiaomi,Redmi Note 14,2289000,8,128,Mediatek Helio G99 Ultra,440000,108,5500,UFS,Amoled,FHD+
23,ZTE,Nubia Neo 3 5G,2229000,8,256,Unisoc T8300,515000,50,6000,UFS,IPS,FHD
24,Techno,Camon 40,2589000,8,128,Mediatek Helio G100 Ultimate,440000,50,5200,UFS,Amoled,1.5K
25,Infinix,Note 50x 5G,2549000,8,256,Mediatek Dimensity 7300 Ultimate,671587,50,5500,UFS,IPS,HD+
26,POCO,M7 Pro 5G,2599000,8,256,Mediatek Dimensity 7025 Ultra,459847,50,5110,UFS,Amoled,FHD+
27,OPPO,A5 Pro,2699000,8,128,Snapdragon 6s 4G Gen 1,308738,50,5800,eMMC,IPS,HD+
28,Vivo,Y400,2895000,8,128,Snapdragron 685,320000,50,6000,eMMC,IPS,HD+
29,POCO,C65,1360000,8,256,Mediatek Helio G85,270000,50,5000,eMMC,IPS,HD+
30,ZTE,Blade A35,849000,4,64,UNISOC SC9863A,101469,13,5000,eMMC,IPS,HD+
31,Itel,A50,878000,6,128,UNISOC T603,242193,12,5000,eMMC,IPS,HD+
32,ZTE ,Blade A54,906000,4,64,UNISOC SC9863A,101469,13,5000,eMMC,IPS,HD+
33,Infinix,Smart 9 HD,958000,4,64,MediaTek Helio G50,144000,13,5000,eMMC,IPS,HD+
34,Tecno,Go 1,913900,3,64,UNISOC T615,280000,13,5000,eMMC,IPS,HD+
35,ZTE,BLADE A55,935000,4,128,UNISOC SC9863A,101469,13,5000,eMMC,IPS,HD+
37,Vivo,Y03T,1111000,4,32,UNISOC T612,200000,13,5000,eMMC,IPS,HD+
38,Samsung,A07 ,1399000,4,64,Mediatek Helio G99,440000,13,5000,UFS,IPS,HD+
39,Realme,Note 50,1299000,3,64,UNISOC T612,200000,13,5000,eMMC,IPS,HD+
40,POCO,C75,1349000,6,128,Qualcomm Snapdragon 4s Gen 2,376951,50,5160,eMMC,IPS,HD+
41,ZTE,Nubia V60 Design,` 1405000,6,256,UNISOC T606,180000,50,5000,eMMC,IPS,FHD+
42,Xiaomi,Redmi 14C,1289000,6,128,MediaTek Helio G81 Ultra,260675,50,5160,eMMC,IPS,HD+
43,Tecno,Spark 20,1449000,8,128,MediaTek Helio G85,270000,50,5000,eMMC,IPS,HD+
44,Poco,C85,1499000,6,128,MediaTek Helio G81 Ultra,270000,50,6000,eMMC,IPS,HD+
45,Redmi,12,1499000,8,128,Mediatek Helio G88,270000,50,5000,eMMC,IPS,HD+
46,Vivo,Y18,1449000,6,128,MediaTek Helio G85,270000,50,5000,eMMC,IPS,HD+
47,Oppo,A18,1299000,4,128,Mediatek Helio G85,270000,8,5000,eMMC,IPS,HD+
48,Infinix,Hot 30 Play,1249000,4,64,Mediatek Helio G37,156033,16,6000,eMMC,IPS,HD+
49,Techno,Spark Go 2,1199000,4,128,UNISOC T7250,280000,13,5000,eMMC,IPS,HD+
50,Realme,Note 70,1499000,4,128,UNISOC T7250,280000,13,6300,eMMC,IPS,HD+
51,Realme,Note 60 ,1499000,6,128,UNISOC T612,200000,14,5000,eMMC,IPS,HD+
52,Xiaomi,Redmi 13x,1699000,8,128,MediaTek Helio G91-Ultra,276628,108,5030,eMMC,IPS,HD+
53,Nubia ,Neo 3 5G,2349000,8,256,UNISOC T8300,479559,50,6000,UFS,IPS,FHD+
54,Xiaomi,POCO C71,1049000,4,128,UNISOC T7250,280000,32,5200,eMMC,IPS,HD+
55,Xiaomi,Redmi 14C,2349002,8,256,MediaTek Helio G81 Ultra,260675,50,5160,eMMC,IPS,HD+
56,Xiaomi ,Redmi 15C,1649000,6,128,Mediatek Helio G81 Ultra,260675,50,6000,eMMC,IPS,HD+
57,Xiaomi,Redmi 15,2099000,8,128,Qualcomm Snapdragon 685,320000,50,7000,UFS,IPS,HD+
58,Xiaomi,Redmi Note 13 5G,3199000,8,256,MediaTek Dimensity 6080,436425,108,5000,UFS,Amoled,FHD+
59,Itel,S25 Ultra,1999000,8,128,UNISOC T620,332915,50,5000,UFS,Amoled,FHD+
60,Samsung ,A15 5G,3099000,8,256,MediaTek Dimensity 6100+,392886,50,5000,UFS,IPS,HD+
61,Oppo,A60,2299000,8,128,Qualcomm Snapdragon 680,308738,50,5000,eMMC,IPS,HD+
62,Samsung,A16 5G,3199000,8,256,Mediatek Dimensity 6300,428635,50,5000,UFS,IPS,HD+
63,Vivo,Y21d,2399000,6,128,Unisoc T7225,200000,50,6500,eMMC,IPS,HD+
64,Oppo,A5x,2199000,6,128,Qualcomm Snapdragon 6s 4G Gen1,308738,32,6000,eMMC,IPS,HD+
65,Infinix,Hot 60i,1785000,8,256,Mediatek Helio G81,605158,50,6000,eMMC,IPS,HD+
66,Realme,C85 Pro,2999000,8,128,Qualcomm Snapdragon 685,320000,50,7000,UFS,IPS,HD+
69,Samsung ,Galaxy A17,2999000,8,128,Samsung Exynos 1330,438848,50,5000,UFS,IPS,FHD+
70,Infinix,Note 50,2600000,8,256,MediaTek G200,440000,64,5500,UFS,Amoled,FHD+
71,POCO,M7 ,1689000,6,128,Qualcomm Snapdragon 4 Gen 2,427069,50,5160,UFS,IPS,HD+
72,Moto,G06 Power,1475000,4,256,MediaTek Helio G81 Extreme,260675,50,7000,eMMC,IPS,HD+
73,Samsung,Galaxy A26,2379000,8,256,Samsung Exynos 1380,489744,50,5000,UFS,IPS,HD+
74,Oppo ,Reno 13F 4G,2999000,8,256,MediaTek Helio G100,440000,50,5800,UFS,IPS,HD+
75,Itel ,Super 26 Ultra,2299000,8,128,UNISOC T7300,580000,50,6000,UFS,Amoled,FHD+
76,Vivo ,Y100 4G,1199000,8,128,Qualcomm Snapdragon 685,320000,50,5000,UFS,IPS,HD+
77,Techno ,Pova Curve,2999000,8,256,MediaTek Dimensity 7300 Ultimate,671587,64,5500,UFS,Amoled,FHD+
78,Realme ,P3 Lite,1400000,4,128,UNISOC T7250,280000,50,6300,UFS,IPS,HD+
79,Nubia ,Neo 3 5G,2349027,8,256,UNISOC T8327,479559,77,6027,UFS,IPS,HD+
80,Itel,P70,1398500,8,128,Helio G50 Ultimate,138788,13,6000,eMMC,IPS,HD+
81,Itel,A100C,1099000,4,64,Unisoc T7100,306233,8,5000,eMMC,IPS,HD+
82,Poco,C75,1249000,6,128,MediaTek Helio G81 Ultra,262000,50,5160,eMMC,IPS,HD+
83,Oppo,A5i,1399000,4,64,Snapdragon 6s 4G Gen 1,248000,8,5100,eMMC,IPS,HD+
84,Tecno,Spark Go 3,1599000,4,64,Unisoc T7250,310000,13,5000,eMMC,IPS,HD+
85,Infinix,Smart 20,1499000,4,64,MediaTek Helio G81 Ultimate,262000,8,5200,eMMC,IPS,HD+
86,Itel,City 200,1549000,4,128,Unisoc T7250,306233,50,5200,eMMC,IPS,HD+
87,Vivo,Y04s,1549000,4,64,Unisoc T612,252597,13,6000,eMMC,IPS,HD+
88,Infinix,Smart 10,1599000,4,128,Unisoc T7250,306681,8,5200,eMMC,IPS,HD+
89,Vivo,Y19s Pro,1599000,4,64,Unisoc Tiger T612,358397,50,5500,eMMC,IPS,HD+
90,Vivo,Y19s,1599000,4,64,Unisoc T612,222000,50,5500,eMMC,IPS,HD+
91,Samsung,Galaxy A06 5G,1699000,6,128,MediaTek Dimensity 6300,515958,50,5000,UFS,IPS,HD+
92,POCO,C85,1769000,6,128,MediaTek Helio G81 Ultra,262000,50,6000,eMMC,IPS,HD+
93,Oppo,A6t,1795300,4,64,Snapdragon 685,347480,50,6500,eMMC,IPS,HD+
94,Realme,Note 80,1848000,4,64,Unisoc T7250,390000,13,6300,eMMC,IPS,HD+
95,ZTE,Nubia V80 Max,2099000,8,128,Unisoc T7250,383000,50,6000,eMMC,IPS,HD+
96,Itel,S25,1877000,8,128,Unisoc T620,328000,50,5000,eMMC,Amoled,FHD+
97,Realme,C71,1898000,4,128,Unisoc T7250,308681,50,6300,eMMC,IPS,HD+
98,Vivo,Y05,1899000,4,64,Unisoc T7225,252597,8,6500,eMMC,IPS,HD+
99,Tecno,Spark 40,1899000,6,128,Mediatek Helio G91,250000,50,5200,eMMC,IPS,HD+
100,Samsung,Galaxy A07,1899000,4,128,MediaTek Helio G99,416900,50,5000,UFS,IPS,HD+
101,Oppo,A5x,1899000,4,128,MediaTek Dimensity 6300,515958,32,5500,eMMC,IPS,HD+
102,Advan,X1,1899000,8,128,MediaTek Helio G100,414000,64,5000,UFS,IPS,FHD+
103,Infinix,Hot 50 Pro,2199000,8,256,MediaTek Helio G100,420000,50,5160,UFS,Amoled,FHD+
104,Tecno,Pova 7,2299000,8,128,MediaTek Helio G100,410000,108,6000,UFS,IPS,HD+
105,Samsung,Galaxy A16 4G,2399000,8,256,MediaTek Helio G99,388147,50,5000,UFS,IPS,FHD+
106,Realme,C75,2479000,8,256,MediaTek Helio G92 Max,288947,50,6000,eMMC,IPS,FHD+
107,Iqoo,Z10 Lite,2499000,8,128,Snapdragon 685,320000,50,6000,UFS,Amoled,1.5K
108,Oppo,A5i Pro,2499000,8,128,Snapdragon 6s Gen 1,320000,50,6000,eMMC,IPS,HD+
109,Vivo,Y19s GT,2499000,8,128,MediaTek Dimensity 6300,515958,50,5500,eMMC,IPS,HD+
110,Oppo,A5,2499000,8,128,Snapdragon 6s Gen 1,320000,50,6000,eMMC,IPS,HD+
111,Tecno,Spark 40 Pro Plus,2549000,8,128,MediaTek Helio G200,440000,50,5200,UFS,Amoled,1.5K
112,Infinix,Hot 60 Pro Plus,2609000,8,128,MediaTek Helio G200,440000,50,5160,UFS,Amoled,FHD+
113,Infinix,Hot 50 Pro Plus,2609000,8,256,Mediatek Helio G100,440000,50,5000,UFS,Amoled,FHD+
114,Realme,C85,2598000,8,128,Snapdragon 685,320000,50,7000,UFS,IPS,HD+
115,Infinix,Note 50 Pro,2998000,8,256,MediaTek Helio G200,440000,50,5500,UFS,Amoled,FHD+
